,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
1147,"John Day describes known details of a murder case which happened in a pedestrian subway at midnight and answers #Person1#'s questions to tell what he know about the case. But he hasn't be able to identify more, even he knows three witnesses.",Police in North London are treating the death of a man thought to be in his forties as murder.,"#Person1# tells John Day the police are treating the death of a man thought to be in his forties whose body was found in a pedestrian subway in Neasden as murder. John Day tells #Person1# the man left the Level One Club about 1:30 a.m. and was found by a member of the club, an employee. John Day tells #Person1# the gap between the time the man was found and the time the drinking club was closed is as short as that. John Day tells #Person1# there may have been other people who left the club who went that way.",#Person1# and Detective Chief Superintendent John Day are investigating the death of a man thought to be in his forties. They are trying to account for movements up till 2:15 a.m. and the gap between the two is as short as that. They are trying to identify the two women who were seen with the drunken man and the two women who were seen near him.
1148,"John Day is telling #Person1# what they've known of the dead man's movements in the early hours of the morning, and there may be three witnesses, two girls and a man, but he hasn't been able to identify more.",Police in North London are treating the death of a man thought to be in his forties as murder.,"#Person1# tells John Day the police are treating the death of a man thought to be in his forties whose body was found in a pedestrian subway in Neasden as murder. John Day tells #Person1# the man left the Level One Club about 1:30 a.m. and was found by a member of the club, an employee. John Day tells #Person1# the gap between the time the man was found and the time the drinking club was closed is as short as that. John Day tells #Person1# there may have been other people who left the club who went that way.",#Person1# and Detective Chief Superintendent John Day are investigating the death of a man thought to be in his forties. They are trying to account for movements up till 2:15 a.m. and the gap between the two is as short as that. They are trying to identify the two women who were seen with the drunken man and the two women who were seen near him.
1149,"Sherry is going to Quebec for a friend's wedding and sightseeing. Bob tells her some basic knowledge of Quebec, describes the beautiful scenery, and suggests practicing French.",You're going to visit Quebec next summer.,Sherry tells Bob she's going to visit Quebec next summer to go to a friend's wedding. Sherry will stay in Montreal for 5 days and Bob advises her to practice French before she goes. Sherry can't wait to go to Quebec City.,Sherry is going to visit Quebec next summer and wants to do some sightseeing. Bob tells her the province of Quebec is the capital city of the province and she will visit Quebec City. Sherry will visit a friend from college who lives there.
1150,Sherry will attend a wedding in Montreal and wants to go sightseeing in nearby cities. Bob gives her some basic knowledge about the cities and Sherry cannot wait to go.,You're going to visit Quebec next summer.,Sherry tells Bob she's going to visit Quebec next summer to go to a friend's wedding. Sherry will stay in Montreal for 5 days and Bob advises her to practice French before she goes. Sherry can't wait to go to Quebec City.,Sherry is going to visit Quebec next summer and wants to do some sightseeing. Bob tells her the province of Quebec is the capital city of the province and she will visit Quebec City. Sherry will visit a friend from college who lives there.
1151,"Sherry will go to Montreal, Quebec next summer. Bob suggests she practice French since Montreal is the third largest French-speaking city. Sherry will also visit a friend in Quebec City.",You're going to visit Quebec next summer.,Sherry tells Bob she's going to visit Quebec next summer to go to a friend's wedding. Sherry will stay in Montreal for 5 days and Bob advises her to practice French before she goes. Sherry can't wait to go to Quebec City.,Sherry is going to visit Quebec next summer and wants to do some sightseeing. Bob tells her the province of Quebec is the capital city of the province and she will visit Quebec City. Sherry will visit a friend from college who lives there.
1152,"Tom suggests going swimming, but Jane refuses. They decide to meet at the Grill to eat and then go to study together in the library.",Jane and Tom will go swimming at the Student Center tomorrow.,Tom invites Jane to go swimming but Jane has a paper due on Friday. Tom agrees to go swimming with Jane after dinner and they will go home together.,Jane and Tom are going swimming at the Student Center. Jane wants to go swimming but Tom wants to go swimming with her. Tom will stay until she's ready to go. Jane and Tom will meet at the Grill about six.
1153,"Tom suggests going swimming but Jane refuses beacuse of her paper due. After discussion, Jane finnally agrees to have dinner with him and then go to study together in the library.",Jane and Tom will go swimming at the Student Center tomorrow.,Tom invites Jane to go swimming but Jane has a paper due on Friday. Tom agrees to go swimming with Jane after dinner and they will go home together.,Jane and Tom are going swimming at the Student Center. Jane wants to go swimming but Tom wants to go swimming with her. Tom will stay until she's ready to go. Jane and Tom will meet at the Grill about six.
1154,"Toms invites Jane to go swimming but Jane refuses because of a paper due. At last, Jane accepts his suggestion to have dinner and then study together in the library.",Jane and Tom will go swimming at the Student Center tomorrow.,Tom invites Jane to go swimming but Jane has a paper due on Friday. Tom agrees to go swimming with Jane after dinner and they will go home together.,Jane and Tom are going swimming at the Student Center. Jane wants to go swimming but Tom wants to go swimming with her. Tom will stay until she's ready to go. Jane and Tom will meet at the Grill about six.
1155,#Person2# suggests that #Person1# should listen to the doctor.,The doctor gave me a prescription for a pain reliever.,#Person1# has pain in #Person1#'s back. #Person2# suggests #Person1# take medicine three times a day.,#Person1# is still having pain in #Person1#'s back. #Person2# suggests #Person1# start taking the medicine three times a day.
1156,#Person2# suggests #Person1# follow the medical instruction.,The doctor gave me a prescription for a pain reliever.,#Person1# has pain in #Person1#'s back. #Person2# suggests #Person1# take medicine three times a day.,#Person1# is still having pain in #Person1#'s back. #Person2# suggests #Person1# start taking the medicine three times a day.
1157,#Person2# suggests that #Person1# should follow the doctor's instruction.,The doctor gave me a prescription for a pain reliever.,#Person1# has pain in #Person1#'s back. #Person2# suggests #Person1# take medicine three times a day.,#Person1# is still having pain in #Person1#'s back. #Person2# suggests #Person1# start taking the medicine three times a day.
1158,#Person1# borrows 200 yuan from Fred and will give it back when having money.,The phone is out of service.,#Person1#'s cell phone is out of service again. Fred lends 200 yuan to #Person1# to pay the mortgage. #Person1# will pay Fred back as soon as #Person1# gets back on #Person1#'s feet.,#Person1#'s cell phone is out of service again. Fred lends #Person1# 200 yuan to pay the mortgage. #Person1# will pay Fred back as soon as #Person1# gets back on #Person1#'s feet.
1159,#Person1# borrows 200 yuan from Fred to pay the mortgage of a computer and will pay back when having money.,The phone is out of service.,#Person1#'s cell phone is out of service again. Fred lends 200 yuan to #Person1# to pay the mortgage. #Person1# will pay Fred back as soon as #Person1# gets back on #Person1#'s feet.,#Person1#'s cell phone is out of service again. Fred lends #Person1# 200 yuan to pay the mortgage. #Person1# will pay Fred back as soon as #Person1# gets back on #Person1#'s feet.
1160,Fred lends #Person1# 200 yuan to pay #Person1#'s mortgage. #Person1# will pay back when having money.,The phone is out of service.,#Person1#'s cell phone is out of service again. Fred lends 200 yuan to #Person1# to pay the mortgage. #Person1# will pay Fred back as soon as #Person1# gets back on #Person1#'s feet.,#Person1#'s cell phone is out of service again. Fred lends #Person1# 200 yuan to pay the mortgage. #Person1# will pay Fred back as soon as #Person1# gets back on #Person1#'s feet.
1161,#Person1# wants to improve handwriting but can't see the progress. #Person2# tells #Person1# the most important is perseverance.,"#Person1#: I'm not sure when I can make it better. #Person2#: I know it's a long process, but the most important is perseverance.",#Person1# wants to improve #Person1#'s handwriting. #Person2# encourages #Person1# to be patient and perseverance. #Person1# thinks #Person1# should stop complaining and stick to it every day.,#Person1# wants to improve her handwriting but she doesn't know when she can make it better. #Person2# advises her to be patient and stick to it every day.
1162,#Person2# encourages #Person1# to persevere with handwriting practice when #Person1# complains about little improvement in handwriting.,"#Person1#: I'm not sure when I can make it better. #Person2#: I know it's a long process, but the most important is perseverance.",#Person1# wants to improve #Person1#'s handwriting. #Person2# encourages #Person1# to be patient and perseverance. #Person1# thinks #Person1# should stop complaining and stick to it every day.,#Person1# wants to improve her handwriting but she doesn't know when she can make it better. #Person2# advises her to be patient and stick to it every day.
1163,"#Person2# encourages #Person1# to keep practice handwriting, even though #Person1# hasn't got too much improvement now.","#Person1#: I'm not sure when I can make it better. #Person2#: I know it's a long process, but the most important is perseverance.",#Person1# wants to improve #Person1#'s handwriting. #Person2# encourages #Person1# to be patient and perseverance. #Person1# thinks #Person1# should stop complaining and stick to it every day.,#Person1# wants to improve her handwriting but she doesn't know when she can make it better. #Person2# advises her to be patient and stick to it every day.
1164,"#Person2# is curling eyelashes. #Person1# feels dangerous, but #Person2# doesn't think so.",#Person1: I'm doing some eyelash curling.,#Person2# is curling #Person2#'s eyelashes. #Person1# thinks it's primitive form of torture but #Person2# thinks it makes #Person2#'s eyelashes curl upwards.,#Person2# is curling #Person2#'s eyelashes. #Person1# thinks #Person2# is a wimp and thinks #Person2# is afraid of an eyelash curler.
1165,#Person1# is afraid that eyelash curler may hurt #Person2#'s eyes.,#Person1: I'm doing some eyelash curling.,#Person2# is curling #Person2#'s eyelashes. #Person1# thinks it's primitive form of torture but #Person2# thinks it makes #Person2#'s eyelashes curl upwards.,#Person2# is curling #Person2#'s eyelashes. #Person1# thinks #Person2# is a wimp and thinks #Person2# is afraid of an eyelash curler.
1166,"#Person1# thinks the eyelash curler is very dangerous, but #Person2# doesn't think so.",#Person1: I'm doing some eyelash curling.,#Person2# is curling #Person2#'s eyelashes. #Person1# thinks it's primitive form of torture but #Person2# thinks it makes #Person2#'s eyelashes curl upwards.,#Person2# is curling #Person2#'s eyelashes. #Person1# thinks #Person2# is a wimp and thinks #Person2# is afraid of an eyelash curler.
1167,#Person1# introduces the weekend driving courses to #Person2#. #Person2# feels satisfied with its settings.,"#Person1#: Good afternoon, how can I help you?",#Person2# wants to know something about the driving courses. #Person1# tells #Person2# about the weekend courses and the coaches. #Person2# will have more chances to get trained.,#Person2# wants to know about the driving courses and the coaches. #Person1# tells #Person2# about the training schedule and the number of people sharing a training car.
1168,"#Person2# consults #Person1# about the training time, training chances and coach's experience of the driving courses. #Person2# thinks weekend courses are good.","#Person1#: Good afternoon, how can I help you?",#Person2# wants to know something about the driving courses. #Person1# tells #Person2# about the weekend courses and the coaches. #Person2# will have more chances to get trained.,#Person2# wants to know about the driving courses and the coaches. #Person1# tells #Person2# about the training schedule and the number of people sharing a training car.
1169,#Person2# is asking #Person1# some information about the driving courses. #Person2# thinks weekend courses are good.,"#Person1#: Good afternoon, how can I help you?",#Person2# wants to know something about the driving courses. #Person1# tells #Person2# about the weekend courses and the coaches. #Person2# will have more chances to get trained.,#Person2# wants to know about the driving courses and the coaches. #Person1# tells #Person2# about the training schedule and the number of people sharing a training car.
1170,Tina plays the piano well because she has an excellent teacher. She agrees to introduce #Person1# to her teacher.,Tina is going to learn the piano from her father.,Tina tells #Person1# she has been learning the piano for 8 years and her father found a teacher from the UK. Tina is still learning it from her teacher and invites #Person1# to learn from her.,Tina has been learning the piano for 8 years and her father found a teacher from the UK. Tina is going to her teacher's home every Saturday and wants to learn from her.
1171,Tina plays the piano well because she has an excellent teacher. #Person1# wants to learn piano from that teacher and Tina will introduce her teacher.,Tina is going to learn the piano from her father.,Tina tells #Person1# she has been learning the piano for 8 years and her father found a teacher from the UK. Tina is still learning it from her teacher and invites #Person1# to learn from her.,Tina has been learning the piano for 8 years and her father found a teacher from the UK. Tina is going to her teacher's home every Saturday and wants to learn from her.
1172,Tina plays the piano well because of her excellent teacher and she agrees to introduce #Person1# to her teacher .,Tina is going to learn the piano from her father.,Tina tells #Person1# she has been learning the piano for 8 years and her father found a teacher from the UK. Tina is still learning it from her teacher and invites #Person1# to learn from her.,Tina has been learning the piano for 8 years and her father found a teacher from the UK. Tina is going to her teacher's home every Saturday and wants to learn from her.
1173,"#Person2# introduces #Person2#'s strength, weakness in #Person2#'s work and career planning to #Person1#. #Person1# thinks #Person2#'s background and personality suit the job well.",#Person1#: I'm looking for a new job.,"#Person1# asks #Person2# about #Person2#'s strengths, weakness, and future plans. #Person2# is interested in learning everything about the job and is willing to be challenged. #Person1# thinks #Person2# might be the person they're looking for.",#Person1# asks #Person2# about #Person2#'s strengths and weaknesses. #Person2# tells #Person1# #Person2#'s strengths are #Person2#'s strengths and #Person2#'s weaknesses. #Person1# asks #Person2#'s future plans and #Person2#'s future goals.
1174,"#Person1# evaluates #Person2#'s ability and personality by asking #Person2# 's strengths, weaknesses and career planning. #Person1# finds #Person2# is a suitable candidate.",#Person1#: I'm looking for a new job.,"#Person1# asks #Person2# about #Person2#'s strengths, weakness, and future plans. #Person2# is interested in learning everything about the job and is willing to be challenged. #Person1# thinks #Person2# might be the person they're looking for.",#Person1# asks #Person2# about #Person2#'s strengths and weaknesses. #Person2# tells #Person1# #Person2#'s strengths are #Person2#'s strengths and #Person2#'s weaknesses. #Person1# asks #Person2#'s future plans and #Person2#'s future goals.
1175,"#Person1# is interviewing #Person2#. #Person1# thinks #Person2# answers #Person1#'s questions beautifully, and is the person they want.",#Person1#: I'm looking for a new job.,"#Person1# asks #Person2# about #Person2#'s strengths, weakness, and future plans. #Person2# is interested in learning everything about the job and is willing to be challenged. #Person1# thinks #Person2# might be the person they're looking for.",#Person1# asks #Person2# about #Person2#'s strengths and weaknesses. #Person2# tells #Person1# #Person2#'s strengths are #Person2#'s strengths and #Person2#'s weaknesses. #Person1# asks #Person2#'s future plans and #Person2#'s future goals.
1176,"Stephanie has a headache before the report due. George suggests that she should ask for more time, and he is willing to help with the report.",Stephanie is pale.,Stephanie has a bad headache and hasn't got much sleep this past week. George suggests Stephanie talk to Miss Jenkins and ask her to hand in the report on Friday morning.,Stephanie has a bad headache and she has a report due tomorrow. George suggests Stephanie talk to Miss Jenkins and ask her to hand in the report on Friday morning.
1177,Stephanie has a headache but doesn't see a doctor because of the report due and George is willing to help with the report and suggests she ask the board for more time,Stephanie is pale.,Stephanie has a bad headache and hasn't got much sleep this past week. George suggests Stephanie talk to Miss Jenkins and ask her to hand in the report on Friday morning.,Stephanie has a bad headache and she has a report due tomorrow. George suggests Stephanie talk to Miss Jenkins and ask her to hand in the report on Friday morning.
1178,Stephanie has a headache but doesn't see a doctor because of the due. George suggests that she should ask the board for more time and he is willing to help.,Stephanie is pale.,Stephanie has a bad headache and hasn't got much sleep this past week. George suggests Stephanie talk to Miss Jenkins and ask her to hand in the report on Friday morning.,Stephanie has a bad headache and she has a report due tomorrow. George suggests Stephanie talk to Miss Jenkins and ask her to hand in the report on Friday morning.
1179,"#Person1# and David's father want to have a quiet Christmas at a country hotel, but David thinks it is boring.",The ice is huge.,David wants to go skating on the lake but #Person1# tells him he can't go back to the city until January the third. David wants to stay in New York and Barbara invites him to a party on New Year's Eve. #Person1# comforts David and suggests David take it easy.,David is not in the mood to join people skating on the lake. He wants to stay in New York and Barbara has asked him to a party on New Year's Eve. David wants to stay in New York and Barbara wants to stay in New York.
1180,David complains about the boring Christmas at a country hotel. But #Person1# and David's dad feel nice.,The ice is huge.,David wants to go skating on the lake but #Person1# tells him he can't go back to the city until January the third. David wants to stay in New York and Barbara invites him to a party on New Year's Eve. #Person1# comforts David and suggests David take it easy.,David is not in the mood to join people skating on the lake. He wants to stay in New York and Barbara has asked him to a party on New Year's Eve. David wants to stay in New York and Barbara wants to stay in New York.
1181,"David feels it boring to stay at a country hotel, while his father and #Person1# enjoy a quiet Christmas.",The ice is huge.,David wants to go skating on the lake but #Person1# tells him he can't go back to the city until January the third. David wants to stay in New York and Barbara invites him to a party on New Year's Eve. #Person1# comforts David and suggests David take it easy.,David is not in the mood to join people skating on the lake. He wants to stay in New York and Barbara has asked him to a party on New Year's Eve. David wants to stay in New York and Barbara wants to stay in New York.
1182,Bob and #Person1# talk about the last weekend and decide to play a game together this weekend.,Bob went to a dance party on Saturday.,Bob and #Person1# talk about their weekend activities. Bob went to a dance party and #Person1# went shopping. Bob won the tennis match and will have a game with #Person1# this weekend.,Bob went to a dance party last weekend and played tennis. Bob will have a game with #Person1# this weekend.
1183,#Person1# and Bob share their last weekend's activities. And they decide to play a game this weekend.,Bob went to a dance party on Saturday.,Bob and #Person1# talk about their weekend activities. Bob went to a dance party and #Person1# went shopping. Bob won the tennis match and will have a game with #Person1# this weekend.,Bob went to a dance party last weekend and played tennis. Bob will have a game with #Person1# this weekend.
1184,Bob and #Person1# talk about what they did last weekend. And they decide to play a game together this weekend.,Bob went to a dance party on Saturday.,Bob and #Person1# talk about their weekend activities. Bob went to a dance party and #Person1# went shopping. Bob won the tennis match and will have a game with #Person1# this weekend.,Bob went to a dance party last weekend and played tennis. Bob will have a game with #Person1# this weekend.
1185,#Person1# has no jobs but is unwilling to go home. #Person2# lends $50 to #Person1#.,#Person1#: I'm looking for a job.,#Person1# borrows $50 from #Person2# without asking any questions. #Person1# wants to find a job but #Person1# doesn't have a job. #Person2# will let #Person1# have luck.,#Person1# borrows $50 from #Person2# without asking any questions. #Person1# wants to stay here and find a job. #Person2# will let #Person1# have luck.
1186,#Person2# asks #Person1#'s situations about #Person2# job and lends #Person1# $50 to wish #Person1# good luck.,#Person1#: I'm looking for a job.,#Person1# borrows $50 from #Person2# without asking any questions. #Person1# wants to find a job but #Person1# doesn't have a job. #Person2# will let #Person1# have luck.,#Person1# borrows $50 from #Person2# without asking any questions. #Person1# wants to stay here and find a job. #Person2# will let #Person1# have luck.
1187,#Person1# borrows $50 from #Person2# and will pay back once #Person1# gets a job.,#Person1#: I'm looking for a job.,#Person1# borrows $50 from #Person2# without asking any questions. #Person1# wants to find a job but #Person1# doesn't have a job. #Person2# will let #Person1# have luck.,#Person1# borrows $50 from #Person2# without asking any questions. #Person1# wants to stay here and find a job. #Person2# will let #Person1# have luck.
1188,"#Person2#, chairman of the conference, isn't wearing required suits at #Person1#'s restaurant. #Person1#'ll puts off the conference so that #Person2# can change clothes.",The conference is being held at the Hotel.,#Person1# asks all the guests to wear a jacket and tie in the restaurant. #Person2# has to return to the hotel and fetch #Person2#'s jacket. #Person1# will put off the time of the conference and #Person2# will come back at 9:30 AM.,#Person1# asks #Person2# to borrow a jacket and tie from others. #Person2# will return to the hotel and fetch it. #Person2# will put off the time of the conference. #Person1# will try to be back sooner.
1189,#Person2# needs to change clothes to enter the conference and #Person1# offers #Person2# the convenience by putting the conference off.,The conference is being held at the Hotel.,#Person1# asks all the guests to wear a jacket and tie in the restaurant. #Person2# has to return to the hotel and fetch #Person2#'s jacket. #Person1# will put off the time of the conference and #Person2# will come back at 9:30 AM.,#Person1# asks #Person2# to borrow a jacket and tie from others. #Person2# will return to the hotel and fetch it. #Person2# will put off the time of the conference. #Person1# will try to be back sooner.
1190,#Person2# has to return to the hotel and wear a jacket and a tie. #Person1# helps put off the conference.,The conference is being held at the Hotel.,#Person1# asks all the guests to wear a jacket and tie in the restaurant. #Person2# has to return to the hotel and fetch #Person2#'s jacket. #Person1# will put off the time of the conference and #Person2# will come back at 9:30 AM.,#Person1# asks #Person2# to borrow a jacket and tie from others. #Person2# will return to the hotel and fetch it. #Person2# will put off the time of the conference. #Person1# will try to be back sooner.
1191,#Person2# tells the trips and sports activities of the holiday camp to #Person1#. The kids enjoyed the holiday camp.,The children enjoyed the holiday camp.,#Person2# tells #Person1# about the holiday camp and the activities #Person2# did with the kids. #Person2# thinks the kids were expecting it to be boring but they were wrong. #Person2# also tells #Person1# about the sports activities they did.,#Person1# asks #Person2# about the holiday camp and the activities the children enjoyed. #Person2# tells #Person1# the things they did with the children and the sports activities they did.
1192,"Though some were homesick, the kids and #Person2# enjoyed their tour to Edinburgh.",The children enjoyed the holiday camp.,#Person2# tells #Person1# about the holiday camp and the activities #Person2# did with the kids. #Person2# thinks the kids were expecting it to be boring but they were wrong. #Person2# also tells #Person1# about the sports activities they did.,#Person1# asks #Person2# about the holiday camp and the activities the children enjoyed. #Person2# tells #Person1# the things they did with the children and the sports activities they did.
1193,#Person2# tells the trips and sports activities of the holiday camp to #Person1#. The kids enjoyed camp and would like to go next year.,The children enjoyed the holiday camp.,#Person2# tells #Person1# about the holiday camp and the activities #Person2# did with the kids. #Person2# thinks the kids were expecting it to be boring but they were wrong. #Person2# also tells #Person1# about the sports activities they did.,#Person1# asks #Person2# about the holiday camp and the activities the children enjoyed. #Person2# tells #Person1# the things they did with the children and the sports activities they did.
1194,#Person2# asks his daughter about college admission requirements because he wants to take some classes in computer programming.,The admissions committee has been asked many questions about the admission requirements of college.,#Person1# tells #Person2# #Person2#'s dad is considering quitting his job and running a business. #Person2#'s dad is considering computer programming and #Person1# thinks #Person2# might help #Person2# start their family business in the future.,#Person1# asks #Person2# about admission requirements of college. #Person2# thinks #Person2# is considering quitting his job and running a business. #Person2# thinks #Person2# could use his vacation time and take some classes.
1195,"#Person2# asks his daughter about admission requirements of college, becasue he wants to learn computer programming.",The admissions committee has been asked many questions about the admission requirements of college.,#Person1# tells #Person2# #Person2#'s dad is considering quitting his job and running a business. #Person2#'s dad is considering computer programming and #Person1# thinks #Person2# might help #Person2# start their family business in the future.,#Person1# asks #Person2# about admission requirements of college. #Person2# thinks #Person2# is considering quitting his job and running a business. #Person2# thinks #Person2# could use his vacation time and take some classes.
1196,"#Person2# wants to know admission requirement of college, because he is thinking of learning computer programming.",The admissions committee has been asked many questions about the admission requirements of college.,#Person1# tells #Person2# #Person2#'s dad is considering quitting his job and running a business. #Person2#'s dad is considering computer programming and #Person1# thinks #Person2# might help #Person2# start their family business in the future.,#Person1# asks #Person2# about admission requirements of college. #Person2# thinks #Person2# is considering quitting his job and running a business. #Person2# thinks #Person2# could use his vacation time and take some classes.
1197,Kalina calls Professor Clark that she needs to take this week off because she had a concussion.,Kalina will miss her morning literature class.,Kalina calls Professor Clark to tell him she has a concussion and she will take this week off.,Kalina runs her car into a tree yesterday and needs to miss a few days of school. Professor Clark tells her she will be OK and will take this week off.
1198,Kalina calls Professor Clark and asks for leave because of a car concussion.,Kalina will miss her morning literature class.,Kalina calls Professor Clark to tell him she has a concussion and she will take this week off.,Kalina runs her car into a tree yesterday and needs to miss a few days of school. Professor Clark tells her she will be OK and will take this week off.
1199,Kalina calls Professor Clark to ask for a week off as Kalina had a car accident.,Kalina will miss her morning literature class.,Kalina calls Professor Clark to tell him she has a concussion and she will take this week off.,Kalina runs her car into a tree yesterday and needs to miss a few days of school. Professor Clark tells her she will be OK and will take this week off.
1200,#Person2# tells Tenants Advocacy Resource Center about the problem with #Person2#'s house owner. #Person2# tells #Person1# it always takes #Person2#'s house owner a long time to repair and they can't agree on the repair costs.,I'm having a problem with my house owner.,#Person2# tells #Person1# that #Person2#'s house owner is unwilling to make repairs because he takes too long. #Person2# tells #Person1# that #Person2#'s friends threw #Person2# a surprise party and broke the living room window. #Person2# had a repair person come over to fix the window and the washing machine. #Person2# then mailed the money for the house without including the repair costs. #Person2#'s house owner called #Person2# angrily and said that he wouldn't pay for the repairs. #Person2# should do something.,#Person2# is having a problem with the house owner because the house owner is unwilling to make repairs. #Person2#'s neighbors complained about the noise and broke the window. #Person2# mailed the money for the house but the house owner refused to pay for the repairs. #Person1# asks #Person2# to help #Person2#.
1201,#Person2# calls Tenants Advocacy Resource Center to report the problem with #Person2#'s house owner. #Person2# says he always delays to make repairs and is not willing to pay for it.,I'm having a problem with my house owner.,#Person2# tells #Person1# that #Person2#'s house owner is unwilling to make repairs because he takes too long. #Person2# tells #Person1# that #Person2#'s friends threw #Person2# a surprise party and broke the living room window. #Person2# had a repair person come over to fix the window and the washing machine. #Person2# then mailed the money for the house without including the repair costs. #Person2#'s house owner called #Person2# angrily and said that he wouldn't pay for the repairs. #Person2# should do something.,#Person2# is having a problem with the house owner because the house owner is unwilling to make repairs. #Person2#'s neighbors complained about the noise and broke the window. #Person2# mailed the money for the house but the house owner refused to pay for the repairs. #Person1# asks #Person2# to help #Person2#.
1202,#Person2# calls #Person1# to complain about #Person1#'s house owner. #Person2# claims it always takes the house owner a long time to repair and they can't agree on the repair costs.,I'm having a problem with my house owner.,#Person2# tells #Person1# that #Person2#'s house owner is unwilling to make repairs because he takes too long. #Person2# tells #Person1# that #Person2#'s friends threw #Person2# a surprise party and broke the living room window. #Person2# had a repair person come over to fix the window and the washing machine. #Person2# then mailed the money for the house without including the repair costs. #Person2#'s house owner called #Person2# angrily and said that he wouldn't pay for the repairs. #Person2# should do something.,#Person2# is having a problem with the house owner because the house owner is unwilling to make repairs. #Person2#'s neighbors complained about the noise and broke the window. #Person2# mailed the money for the house but the house owner refused to pay for the repairs. #Person1# asks #Person2# to help #Person2#.
1203,#Person1# helps #Person2# collect an Export L /C from Tokyo.,"Person1 is collecting L / C from Sayuri Beds, Tokyo, Japan.",#Person2# needs to collect L/C from Sayuri Beds from Tokyo. #Person1# helps her to sign the form and sign it right here.,#Person1# sends #Person2# an Export L / C from Japan to collect. #Person2# needs to sign the forms and sign it.
1204,#Person2# looks for L/C and gets the expected one from #Person1#.,"Person1 is collecting L / C from Sayuri Beds, Tokyo, Japan.",#Person2# needs to collect L/C from Sayuri Beds from Tokyo. #Person1# helps her to sign the form and sign it right here.,#Person1# sends #Person2# an Export L / C from Japan to collect. #Person2# needs to sign the forms and sign it.
1205,#Person2# is sent over from Turner Interiors to collect the Export L/C from #Person1#.,"Person1 is collecting L / C from Sayuri Beds, Tokyo, Japan.",#Person2# needs to collect L/C from Sayuri Beds from Tokyo. #Person1# helps her to sign the form and sign it right here.,#Person1# sends #Person2# an Export L / C from Japan to collect. #Person2# needs to sign the forms and sign it.
1206,Charlie and Myrdal are going to hotdog stand to find Myrdal's disappeared purse.,Myrdal lost her purse.,Myrdal lost her purse and Charlie tells her it doesn't disappear. Charlie and Myrdal will go back to the hotdog stand.,Myrdal lost her purse and Charlie asks her where she is. Charlie tells her she lost it when she left the house and when they start to get the hotdog.
1207,Charlie suggests going back to the hotdog stand when Myrdal cannot find the purse.,Myrdal lost her purse.,Myrdal lost her purse and Charlie tells her it doesn't disappear. Charlie and Myrdal will go back to the hotdog stand.,Myrdal lost her purse and Charlie asks her where she is. Charlie tells her she lost it when she left the house and when they start to get the hotdog.
1208,Charlie helps Myrdal to think over where Myrdal lost the wallet.,Myrdal lost her purse.,Myrdal lost her purse and Charlie tells her it doesn't disappear. Charlie and Myrdal will go back to the hotdog stand.,Myrdal lost her purse and Charlie asks her where she is. Charlie tells her she lost it when she left the house and when they start to get the hotdog.
1209,#Person1# has been washing dishes for over a week and #Person2# will do the dishes next week.,Person1 is doing the dishes.,#Person1# has been washing the dishes for over a week. #Person2# will do them now.,#Person1# has been washing the dishes for over a week now. #Person2# asks #Person1# to do the dishes for another week.
1210,#Person1# has been washing dishes for over a week and #Person2# agrees to take #Person2#'s turn to wash next week.,Person1 is doing the dishes.,#Person1# has been washing the dishes for over a week. #Person2# will do them now.,#Person1# has been washing the dishes for over a week now. #Person2# asks #Person1# to do the dishes for another week.
1211,#Person2# will do the agreement made with #Person1# on taking turns washing the dishes.,Person1 is doing the dishes.,#Person1# has been washing the dishes for over a week. #Person2# will do them now.,#Person1# has been washing the dishes for over a week now. #Person2# asks #Person1# to do the dishes for another week.
1212,#Person1# and #Person2# are talking about where their relationship is going with a gun in #Person1#'s hand.,Person1 is in love with Person2 and wants to know where this relationship is going.,#Person1# wants to know where the relationship is going. #Person2# thinks #Person1# is awesome and #Person1# loves #Person2# so much. #Person1# is sorry for putting the gun down.,#Person1# wants to know where the relationship is going. #Person2# thinks #Person1# is awesome and #Person1# loves #Person1#. #Person2# asks #Person1# to put the gun down.
1213,#Person1#'s is talking about where the relationship with #Person2# is going with a gun in hand.,Person1 is in love with Person2 and wants to know where this relationship is going.,#Person1# wants to know where the relationship is going. #Person2# thinks #Person1# is awesome and #Person1# loves #Person2# so much. #Person1# is sorry for putting the gun down.,#Person1# wants to know where the relationship is going. #Person2# thinks #Person1# is awesome and #Person1# loves #Person1#. #Person2# asks #Person1# to put the gun down.
1214,#Person1# asks where the relationship with #Person2# is going and #Person2# gives the answer.,Person1 is in love with Person2 and wants to know where this relationship is going.,#Person1# wants to know where the relationship is going. #Person2# thinks #Person1# is awesome and #Person1# loves #Person2# so much. #Person1# is sorry for putting the gun down.,#Person1# wants to know where the relationship is going. #Person2# thinks #Person1# is awesome and #Person1# loves #Person1#. #Person2# asks #Person1# to put the gun down.
1215,"#Person2# thinks that unemployment gives rise to social problems, and #Person1# thinks that it's difficult to handle it efficiently.",The government has to face a lot of social problems now.,#Person1# and #Person2# think unemployment causes social problems. #Person1# thinks it is difficult for any government to handle it efficiently.,#Person1# thinks the government has to face a lot of social problems now. #Person2# thinks it is difficult for any government to handle it efficiently.
